Date,State,Total_Cases,New_Cases,Total_Deaths,New_Deaths
2020-01-22,AZ,0,0,0,0
2020-01-23,AZ,0,0,0,0
2020-01-24,AZ,0,0,0,0
2020-01-25,AZ,0,0,0,0
2020-01-26,AZ,1,1,0,0
2020-01-27,AZ,1,0,0,0
2020-01-28,AZ,1,0,0,0
2020-01-29,AZ,1,0,0,0
2020-01-30,AZ,1,0,0,0
2020-01-31,AZ,1,0,0,0
2020-02-01,AZ,1,0,0,0
2020-02-02,AZ,1,0,0,0
2020-02-03,AZ,1,0,0,0
2020-02-04,AZ,1,0,0,0
2020-02-05,AZ,1,0,0,0
2020-02-06,AZ,1,0,0,0
2020-02-07,AZ,1,0,0,0
2020-02-08,AZ,1,0,0,0
2020-02-09,AZ,1,0,0,0
2020-02-10,AZ,1,0,0,0
2020-02-11,AZ,1,0,0,0
2020-02-12,AZ,1,0,0,0
2020-02-13,AZ,1,0,0,0
2020-02-14,AZ,1,0,0,0
2020-02-15,AZ,1,0,0,0
2020-02-16,AZ,1,0,0,0
2020-02-17,AZ,1,0,0,0
2020-02-18,AZ,1,0,0,0
2020-02-19,AZ,1,0,0,0
2020-02-20,AZ,1,0,0,0
2020-02-21,AZ,1,0,0,0
2020-02-22,AZ,1,0,0,0
2020-02-23,AZ,1,0,0,0
2020-02-24,AZ,1,0,0,0
2020-02-25,AZ,1,0,0,0
2020-02-26,AZ,1,0,0,0
2020-02-27,AZ,1,0,0,0
2020-02-28,AZ,1,0,0,0
2020-02-29,AZ,1,0,0,0
2020-03-01,AZ,1,0,0,0
2020-03-02,AZ,1,0,0,0
2020-03-03,AZ,2,1,0,0
2020-03-04,AZ,2,0,0,0
2020-03-05,AZ,3,1,0,0
2020-03-06,AZ,3,0,0,0
2020-03-07,AZ,5,2,0,0
2020-03-08,AZ,5,0,0,0
2020-03-09,AZ,6,1,0,0
2020-03-10,AZ,8,2,0,0
2020-03-11,AZ,9,1,0,0
2020-03-12,AZ,9,0,0,0
2020-03-13,AZ,10,1,0,0
2020-03-14,AZ,12,2,0,0
2020-03-15,AZ,13,1,0,0
2020-03-16,AZ,18,5,0,0
2020-03-17,AZ,18,0,0,0
2020-03-18,AZ,27,9,0,0
2020-03-19,AZ,44,17,0,0
2020-03-20,AZ,63,19,1,1
2020-03-21,AZ,104,41,1,0
2020-03-22,AZ,152,48,2,1
2020-03-23,AZ,253,101,2,0
2020-03-24,AZ,326,73,5,3
2020-03-25,AZ,401,75,6,1
2020-03-26,AZ,508,107,8,2
2020-03-27,AZ,665,157,13,5
2020-03-28,AZ,773,108,15,2
2020-03-29,AZ,919,146,17,2
2020-03-30,AZ,1157,238,20,3
2020-03-31,AZ,1289,132,24,4
2020-04-01,AZ,1413,124,29,5
2020-04-02,AZ,1598,185,32,3
